"dataset","seed","fold","frechet_sparse","frechet_dense","euclid_sparse","euclid_dense","n_sel","p"
"Setting5",8,3,1,0.944444444444444,0.833333333333333,0.833333333333333,2,5
"Setting5",8,4,1,0.944444444444444,1,0.833333333333333,2,5
"Setting5",8,5,0.944444444444444,0.944444444444444,0.944444444444444,0.722222222222222,5,5
"Setting5",9,1,0.944444444444444,0.944444444444444,0.944444444444444,0.722222222222222,2,5
"Setting5",9,2,1,0.944444444444444,0.944444444444444,0.833333333333333,2,5
"Setting5",9,3,1,1,0.944444444444444,0.833333333333333,2,5
"Setting5",9,4,1,1,1,0.944444444444444,2,5
"Setting5",9,5,0.944444444444444,0.944444444444444,0.944444444444444,0.888888888888889,2,5
"Setting5",10,1,1,1,0.944444444444444,0.722222222222222,2,5
"Setting5",10,2,1,1,1,0.888888888888889,2,5
"Setting5",10,3,1,0.944444444444444,1,0.888888888888889,2,5
"Setting5",10,4,1,1,0.944444444444444,0.722222222222222,2,5
"Setting5",10,5,1,0.888888888888889,0.944444444444444,0.777777777777778,2,5
"Setting5",11,1,1,1,1,0.888888888888889,2,5
"Setting5",11,2,1,1,1,0.777777777777778,2,5
"Setting5",11,3,1,1,0.888888888888889,0.722222222222222,2,5
"Setting5",11,4,0.944444444444444,0.944444444444444,0.777777777777778,0.777777777777778,5,5
"Setting5",11,5,1,0.888888888888889,0.944444444444444,0.722222222222222,2,5
"Setting5",12,1,1,1,0.888888888888889,0.777777777777778,5,5
"Setting5",12,2,1,0.944444444444444,0.888888888888889,0.666666666666667,5,5
"Setting5",12,3,0.944444444444444,1,0.944444444444444,0.944444444444444,2,5
"Setting5",12,4,1,0.944444444444444,0.944444444444444,0.777777777777778,5,5
"Setting5",12,5,1,1,1,0.777777777777778,2,5
"Setting5",13,1,1,0.944444444444444,1,0.777777777777778,2,5
"Setting5",13,2,0.944444444444444,1,0.833333333333333,0.666666666666667,2,5
"Setting5",13,3,1,0.944444444444444,1,0.722222222222222,2,5
"Setting5",13,4,0.944444444444444,0.944444444444444,0.944444444444444,0.833333333333333,2,5
"Setting5",13,5,1,0.944444444444444,1,0.833333333333333,2,5
"Setting5",14,1,1,0.944444444444444,0.944444444444444,0.666666666666667,2,5
"Setting5",14,2,1,1,0.888888888888889,0.666666666666667,2,5
"Setting5",14,3,1,0.944444444444444,0.833333333333333,0.722222222222222,5,5
"Setting5",14,4,0.888888888888889,0.888888888888889,0.722222222222222,0.555555555555556,5,5
"Setting5",14,5,0.833333333333333,1,0.833333333333333,0.666666666666667,2,5
"Setting5",15,1,1,1,0.944444444444444,0.888888888888889,2,5
"Setting5",15,2,0.888888888888889,0.888888888888889,0.833333333333333,0.777777777777778,4,5
"Setting5",15,3,1,0.944444444444444,0.888888888888889,0.722222222222222,2,5
"Setting5",15,4,1,1,0.722222222222222,0.555555555555556,5,5
"Setting5",15,5,1,0.944444444444444,0.777777777777778,0.666666666666667,4,5
"Setting5",16,1,1,1,0.944444444444444,0.777777777777778,2,5
"Setting5",16,2,0.944444444444444,1,0.888888888888889,0.777777777777778,2,5
"Setting5",16,3,1,1,1,0.833333333333333,2,5
"Setting5",16,4,1,0.944444444444444,1,0.611111111111111,2,5
"Setting5",16,5,0.944444444444444,0.944444444444444,0.944444444444444,0.777777777777778,2,5
"Setting5",17,1,1,1,1,0.722222222222222,2,5
"Setting5",17,2,1,0.944444444444444,1,0.722222222222222,2,5
"Setting5",17,3,1,0.888888888888889,0.833333333333333,0.666666666666667,2,5
"Setting5",17,4,1,0.944444444444444,1,0.666666666666667,2,5
"Setting5",17,5,1,0.833333333333333,0.888888888888889,0.722222222222222,2,5
"Setting5",18,1,1,1,1,0.833333333333333,2,5
"Setting5",18,2,1,0.944444444444444,1,0.888888888888889,2,5
"Setting5",18,3,0.944444444444444,0.944444444444444,0.944444444444444,0.833333333333333,2,5
"Setting5",18,4,1,0.888888888888889,0.944444444444444,0.722222222222222,2,5
"Setting5",18,5,0.944444444444444,0.944444444444444,0.944444444444444,0.555555555555556,2,5
"Setting5",19,1,1,0.944444444444444,1,0.777777777777778,2,5
"Setting5",19,2,0.944444444444444,0.833333333333333,0.944444444444444,0.777777777777778,2,5
"Setting5",19,3,1,0.888888888888889,1,0.611111111111111,2,5
"Setting5",19,4,1,0.888888888888889,1,0.944444444444444,2,5
"Setting5",19,5,1,0.888888888888889,1,0.833333333333333,2,5
"Setting5",20,1,0.888888888888889,1,0.888888888888889,0.611111111111111,2,5
