"dataset","seed","fold","n_var","n_info_included","k_sel","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier"
"HighDim20",12,5,16,3,11,1,1,1,1,1,1,1,NA,0.287507950993999,0.134986225895317
"HighDim20",12,5,17,3,11,1,1,1,1,1,1,1,NA,0.292934748991187,0.13406795224977
"HighDim20",12,5,18,3,1,0.888888888888889,0.888888888888889,0.904761904761905,0.888888888888889,0.882051282051282,0.888888888888889,0.833333333333333,NA,3.83764182165674,0.222222222222222
"HighDim20",12,5,19,3,5,1,1,1,1,1,1,1,NA,0.263596757636211,0.137777777777778
"HighDim20",12,5,20,3,5,1,1,1,1,1,1,1,NA,0.257053255655301,0.133333333333333
"HighDim20",13,1,1,1,1,1,1,1,1,1,1,1,NA,0,0
"HighDim20",13,1,2,2,1,1,1,1,1,1,1,1,NA,0,0
"HighDim20",13,1,3,3,1,1,1,1,1,1,1,1,NA,0,0
"HighDim20",13,1,4,3,3,1,1,1,1,1,1,1,NA,0.0225258393393425,0.0123456790123457
"HighDim20",13,1,5,3,1,1,1,1,1,1,1,1,NA,0,0
"HighDim20",13,1,6,3,7,1,1,1,1,1,1,1,NA,0.0545136573831635,0.0226757369614512
"HighDim20",13,1,7,3,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"HighDim20",13,1,8,3,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"HighDim20",13,1,9,3,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"HighDim20",13,1,10,3,1,1,1,1,1,1,1,1,NA,0,0
"HighDim20",13,1,11,3,1,0.833333333333333,0.833333333333333,0.888888888888889,0.833333333333333,0.836363636363636,0.833333333333333,0.75,NA,5.75646273248511,0.333333333333333
"HighDim20",13,1,12,3,1,0.888888888888889,0.888888888888889,0.916666666666667,0.888888888888889,0.885714285714286,0.888888888888889,0.833333333333333,NA,3.83764182165674,0.222222222222222
"HighDim20",13,1,13,3,9,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.270544836116242,0.141289437585734
"HighDim20",13,1,14,3,3,0.888888888888889,0.888888888888889,0.916666666666667,0.888888888888889,0.891774891774892,0.888888888888889,0.833333333333333,NA,2.04743244488352,0.197530864197531
