"dataset","method","family","needs_grid","seed","fold","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier","k_sel","gamma_sel","s_sel","n_sel","lambda","seconds","ok","error"
"Epilepsy","MFKmL-C + mean","proposed",FALSE,3,4,0.518518518518518,0.531684981684982,0.534722222222222,0.531684981684982,0.500287356321839,0.518518518518518,0.363842319891255,NA,1.29558282262443,0.70346208774388,NA,1,1.73205080756888,3,0.390243902439024,0.251949071884155,TRUE,""
"Epilepsy","DTW + DBA","distance",FALSE,3,4,0.925925925925926,0.924038461538462,0.924038461538462,0.924038461538462,0.922758620689655,0.925925925925926,0.901098901098901,NA,1.19969539386357,0.651756196227412,NA,1,1.73205080756888,3,0.390243902439024,0.256629943847656,TRUE,""
"Epilepsy","Euclid + centroid","distance",TRUE,3,4,0.555555555555556,0.558882783882784,0.558917797888386,0.558882783882784,0.550618921308576,0.555555555555556,0.409567198177677,NA,1.31340376536231,0.713629306519807,NA,1,1.73205080756888,3,0.390243902439024,0.024705171585083,TRUE,""
"Epilepsy","SFKmL-C + mean","proposed",FALSE,3,4,0.462962962962963,0.455082417582418,0.466765873015873,0.455082417582418,0.455522008580963,0.462962962962963,0.281651376146789,NA,1.32471679477617,0.719701288620231,NA,1,1.02,2,0.390243902439024,0.487751007080078,TRUE,""
"Epilepsy","SFKmL-C(dense) + kNN","proposed",FALSE,3,4,0.907407407407407,0.90521978021978,0.920588235294118,0.90521978021978,0.901883417508417,0.907407407407407,0.876260311640697,NA,0.843313854172313,0.158518518518519,5,1,1.73205080756888,3,0.390243902439024,0.0366809368133545,TRUE,""
"Epilepsy","MFKmL-C + kNN","proposed",FALSE,3,4,0.851851851851852,0.851236263736264,0.871710526315789,0.851236263736264,0.855049019607843,0.851851851851852,0.801561782269178,NA,5.11685576220899,0.296296296296296,1,1,1.73205080756888,3,0.390243902439024,0.0334270000457764,TRUE,""
"Epilepsy","DTW + kNN","distance",FALSE,3,4,1,1,1,1,1,1,1,NA,0,0,1,1,1.73205080756888,3,0.390243902439024,0.032477855682373,TRUE,""
"Epilepsy","Euclid + kNN","distance",TRUE,3,4,0.796296296296296,0.797893772893773,0.868055555555556,0.797893772893773,0.806957535218405,0.796296296296296,0.726141078838174,NA,7.03567667303736,0.407407407407407,1,1,1.73205080756888,3,0.390243902439024,0.0354268550872803,TRUE,""
"Epilepsy","SFKmL-C + kNN","proposed",FALSE,3,4,0.851851851851852,0.853846153846154,0.875,0.853846153846154,0.848310291858679,0.851851851851852,0.802197802197802,NA,5.11685576220899,0.296296296296296,1,1,1.02,2,0.390243902439024,0.0827300548553467,TRUE,""
"Epilepsy","SFKmL-C(dense) + SVM","proposed",FALSE,3,4,0.944444444444444,0.944871794871795,0.949519230769231,0.944871794871795,0.94497311827957,0.944444444444444,0.925722145804677,NA,0.291979145750139,0.135361334626761,NA,1,1.73205080756888,3,0.390243902439024,0.0527029037475586,TRUE,""
