"dataset","method","seed","fold","variable","w","informative"
"Epilepsy","SFKmL-C(dense) + kFDA",1,4,"V03",1,NA
"Epilepsy","MFKmL-C + kFDA",1,4,"V01",1,NA
"Epilepsy","MFKmL-C + kFDA",1,4,"V02",1,NA
"Epilepsy","MFKmL-C + kFDA",1,4,"V03",1,NA
"Epilepsy","DTW + kFDA",1,4,"V01",1,NA
"Epilepsy","DTW + kFDA",1,4,"V02",1,NA
"Epilepsy","DTW + kFDA",1,4,"V03",1,NA
"Epilepsy","Euclid + kFDA",1,4,"V01",1,NA
"Epilepsy","Euclid + kFDA",1,4,"V02",1,NA
"Epilepsy","Euclid + kFDA",1,4,"V03",1,NA
"Epilepsy","SFKmL-C + kFDA",1,4,"V01",0.0328540449283936,NA
"Epilepsy","SFKmL-C + kFDA",1,4,"V02",0.992059697575404,NA
"Epilepsy","SFKmL-C + kFDA",1,4,"V03",0.121400857404057,NA
"Epilepsy","SFKmL-C(gap) + medoid",1,5,"V01",0.0202041241496611,NA
"Epilepsy","SFKmL-C(gap) + medoid",1,5,"V02",0.999795875850338,NA
"Epilepsy","SFKmL-C(gap) + medoid",1,5,"V03",0,NA
"Epilepsy","SFKmL-C(gaplab) + medoid",1,5,"V01",0.0202041241496611,NA
"Epilepsy","SFKmL-C(gaplab) + medoid",1,5,"V02",0.999795875850338,NA
"Epilepsy","SFKmL-C(gaplab) + medoid",1,5,"V03",0,NA
"Epilepsy","1NN-Euclid",1,5,"V01",1,NA
"Epilepsy","1NN-Euclid",1,5,"V02",1,NA
"Epilepsy","1NN-Euclid",1,5,"V03",1,NA
"Epilepsy","1NN-DTW",1,5,"V01",1,NA
"Epilepsy","1NN-DTW",1,5,"V02",1,NA
"Epilepsy","1NN-DTW",1,5,"V03",1,NA
"Epilepsy","DistSpace-Frechet",1,5,"V01",0.348682391006226,NA
"Epilepsy","DistSpace-Frechet",1,5,"V02",0.916271574120047,NA
"Epilepsy","DistSpace-Frechet",1,5,"V03",0.197147134551212,NA
"Epilepsy","SFKmL-C(dense) + medoid",1,5,"V01",1,NA
"Epilepsy","SFKmL-C(dense) + medoid",1,5,"V02",1,NA
"Epilepsy","SFKmL-C(dense) + medoid",1,5,"V03",1,NA
"Epilepsy","MFKmL-C + medoid",1,5,"V01",1,NA
"Epilepsy","MFKmL-C + medoid",1,5,"V02",1,NA
"Epilepsy","MFKmL-C + medoid",1,5,"V03",1,NA
"Epilepsy","DTW + medoid",1,5,"V01",1,NA
"Epilepsy","DTW + medoid",1,5,"V02",1,NA
"Epilepsy","DTW + medoid",1,5,"V03",1,NA
"Epilepsy","Euclid + medoid",1,5,"V01",1,NA
"Epilepsy","Euclid + medoid",1,5,"V02",1,NA
"Epilepsy","Euclid + medoid",1,5,"V03",1,NA
"Epilepsy","SFKmL-C + medoid",1,5,"V01",0.348682391006226,NA
"Epilepsy","SFKmL-C + medoid",1,5,"V02",0.916271574120047,NA
"Epilepsy","SFKmL-C + medoid",1,5,"V03",0.197147134551212,NA
"Epilepsy","SFKmL-C(dense) + mean",1,5,"V01",1,NA
"Epilepsy","SFKmL-C(dense) + mean",1,5,"V02",1,NA
"Epilepsy","SFKmL-C(dense) + mean",1,5,"V03",1,NA
"Epilepsy","MFKmL-C + mean",1,5,"V01",1,NA
"Epilepsy","MFKmL-C + mean",1,5,"V02",1,NA
"Epilepsy","MFKmL-C + mean",1,5,"V03",1,NA
"Epilepsy","DTW + DBA",1,5,"V01",1,NA
"Epilepsy","DTW + DBA",1,5,"V02",1,NA
"Epilepsy","DTW + DBA",1,5,"V03",1,NA
"Epilepsy","Euclid + centroid",1,5,"V01",1,NA
"Epilepsy","Euclid + centroid",1,5,"V02",1,NA
"Epilepsy","Euclid + centroid",1,5,"V03",1,NA
"Epilepsy","SFKmL-C + mean",1,5,"V01",0.348682391006226,NA
"Epilepsy","SFKmL-C + mean",1,5,"V02",0.916271574120047,NA
"Epilepsy","SFKmL-C + mean",1,5,"V03",0.197147134551212,NA
"Epilepsy","SFKmL-C(dense) + kNN",1,5,"V01",1,NA
"Epilepsy","SFKmL-C(dense) + kNN",1,5,"V02",1,NA
