"dataset","seed","fold","distance","gamma_mult","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier"
"Epilepsy",2,2,"MFCL",0.25,0.75,0.750595238095238,0.77281746031746,0.750595238095238,0.757665945165945,0.75,0.665814151747656,NA,0.984289457153073,0.525686985850855
"Epilepsy",2,2,"MFCL",0.5,0.732142857142857,0.736904761904762,0.753232062055591,0.736904761904762,0.7403400997151,0.732142857142857,0.642705231816248,NA,0.989384270988343,0.529112533989752
"Epilepsy",2,2,"MFCL",1,0.767857142857143,0.770238095238095,0.769688644688645,0.770238095238095,0.766922094508302,0.767857142857143,0.690739167374681,NA,0.995040111295815,0.531702247855701
"Epilepsy",2,2,"MFCL",2,0.803571428571429,0.799404761904762,0.806479978354978,0.799404761904762,0.801881317405813,0.803571428571429,0.737201365187713,NA,0.970557630582378,0.517053512451084
"Epilepsy",2,2,"MFCL",4,0.839285714285714,0.842261904761905,0.845913461538462,0.842261904761905,0.842261904761905,0.839285714285714,0.785349233390119,NA,0.973201035438415,0.513800700902325
"Epilepsy",2,2,"MFCL",8,0.767857142857143,0.770238095238095,0.76853354978355,0.770238095238095,0.76263998844644,0.767857142857143,0.690870488322718,NA,1.03797768809539,0.558225410636579
"Epilepsy",2,3,"SFCL",0.125,0.875,0.876190476190476,0.905769230769231,0.876190476190476,0.871818181818182,0.875,0.832693128467776,NA,0.783492794479236,0.409326010734112
"Epilepsy",2,3,"SFCL",0.25,0.857142857142857,0.85952380952381,0.885338345864662,0.85952380952381,0.853763883175648,0.857142857142857,0.809036658141517,NA,0.788307262371067,0.412752163391431
"Epilepsy",2,3,"SFCL",0.5,0.875,0.877380952380952,0.89484126984127,0.877380952380952,0.873391101651971,0.875,0.832978270132083,NA,0.78912196043077,0.414143178893187
"Epilepsy",2,3,"SFCL",1,0.839285714285714,0.842857142857143,0.848692810457516,0.842857142857143,0.833635265700483,0.839285714285714,0.785531914893617,NA,0.765553477026295,0.402572838540707
"Epilepsy",2,3,"SFCL",2,0.892857142857143,0.895238095238095,0.902777777777778,0.895238095238095,0.895808214773732,0.892857142857143,0.856655290102389,NA,0.778675650597825,0.408999269677916
"Epilepsy",2,3,"SFCL",4,0.821428571428571,0.826190476190476,0.819318181818182,0.826190476190476,0.817149919663824,0.821428571428571,0.761904761904762,NA,0.84773154257653,0.446615869178071
"Epilepsy",2,3,"SFCL",8,0.821428571428571,0.822023809523809,0.819827231591937,0.822023809523809,0.8175,0.821428571428571,0.761295822676897,NA,0.936252565805359,0.50462364460966
"Epilepsy",2,3,"MFCL",0.125,0.767857142857143,0.766071428571429,0.773365523365523,0.766071428571429,0.763000333000333,0.767857142857143,0.690080885483184,NA,1.01532987425627,0.537926393036939
"Epilepsy",2,3,"MFCL",0.25,0.803571428571429,0.799404761904762,0.803571428571429,0.799404761904762,0.79704785954786,0.803571428571429,0.737425404944587,NA,1.02153904389051,0.542155528558904
"Epilepsy",2,3,"MFCL",0.5,0.803571428571429,0.798214285714286,0.797619047619048,0.798214285714286,0.794746202073788,0.803571428571429,0.737201365187713,NA,1.00518649620208,0.53315475344249
