"dataset","seed","fold","distance","k","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier"
"Epilepsy",2,3,"MFCL",7,0.75,0.756547619047619,0.773765756302521,0.756547619047619,0.747767857142857,0.75,0.667514843087362,NA,2.25710608468443,0.333819241982507
"Epilepsy",2,3,"MFCL",9,0.714285714285714,0.725,0.738970588235294,0.725,0.709615384615385,0.714285714285714,0.620660457239627,NA,1.75249930790998,0.361992945326279
"Epilepsy",2,3,"MFCL",11,0.696428571428571,0.701190476190476,0.72676282051282,0.701190476190476,0.696037758537759,0.696428571428571,0.596096733135342,NA,1.22743700859495,0.382526564344746
"Epilepsy",2,4,"SFCL",1,0.981481481481482,0.980769230769231,0.984375,0.980769230769231,0.981935483870968,0.981481481481482,0.975229357798165,NA,0.639606970276124,0.037037037037037
"Epilepsy",2,4,"SFCL",3,0.981481481481482,0.979166666666667,0.984375,0.979166666666667,0.981065918653576,0.981481481481482,0.975217989903626,NA,0.11892175361506,0.0740740740740741
"Epilepsy",2,4,"SFCL",5,0.925925925925926,0.922847985347985,0.932126696832579,0.922847985347985,0.924282407407407,0.925925925925926,0.900917431192661,NA,0.190870824996931,0.108148148148148
"Epilepsy",2,4,"SFCL",7,0.907407407407407,0.906181318681319,0.915178571428571,0.906181318681319,0.907252320558772,0.907407407407407,0.876316994961063,NA,0.260165440294606,0.152683295540438
"Epilepsy",2,4,"SFCL",9,0.87037037037037,0.869093406593407,0.879583651642475,0.869093406593407,0.869391025641026,0.87037037037037,0.826764436296975,NA,0.304313072796229,0.176040237768633
"Epilepsy",2,4,"SFCL",11,0.851851851851852,0.851236263736264,0.860644257703081,0.851236263736264,0.850288461538461,0.851851851851852,0.8021071919377,NA,0.366693623386274,0.208754208754209
"Epilepsy",2,4,"MFCL",1,0.907407407407407,0.904990842490842,0.919871794871795,0.904990842490842,0.908710854363028,0.907407407407407,0.875976113918236,NA,3.19803485138062,0.185185185185185
"Epilepsy",2,4,"MFCL",3,0.814814814814815,0.818269230769231,0.855811403508772,0.818269230769231,0.809139784946237,0.814814814814815,0.753086419753086,NA,0.31922219527961,0.226337448559671
"Epilepsy",2,4,"MFCL",5,0.814814814814815,0.819642857142857,0.881060606060606,0.819642857142857,0.808178053830228,0.814814814814815,0.753312014618547,NA,0.411229287855551,0.248888888888889
"Epilepsy",2,4,"MFCL",7,0.814814814814815,0.818269230769231,0.8527665317139,0.818269230769231,0.8075,0.814814814814815,0.753424657534246,NA,0.412364605452139,0.241118669690098
"Epilepsy",2,4,"MFCL",9,0.814814814814815,0.818269230769231,0.8527665317139,0.818269230769231,0.8075,0.814814814814815,0.753424657534246,NA,0.486219210974945,0.287151348879744
"Epilepsy",2,4,"MFCL",11,0.814814814814815,0.818269230769231,0.8527665317139,0.818269230769231,0.8075,0.814814814814815,0.753424657534246,NA,0.524290432173048,0.307009488827671
"Epilepsy",2,5,"SFCL",1,0.867924528301887,0.865384615384615,0.893382352941176,0.865384615384615,0.847986902740723,0.867924528301887,0.82375296912114,NA,4.56172518423349,0.264150943396226
"Epilepsy",2,5,"SFCL",3,0.792452830188679,0.788232600732601,0.805902777777778,0.788232600732601,0.761111111111111,0.792452830188679,0.723434535104364,NA,3.40569718926201,0.272536687631027
"Epilepsy",2,5,"SFCL",5,0.792452830188679,0.789835164835165,0.853125,0.789835164835165,0.747916666666667,0.792452830188679,0.723696682464455,NA,2.82335289545814,0.28377358490566
"Epilepsy",2,5,"SFCL",7,0.830188679245283,0.826923076923077,0.872549019607843,0.826923076923077,0.793453510436433,0.830188679245283,0.773611770289511,NA,2.24005760858092,0.285714285714286
"Epilepsy",2,5,"SFCL",9,0.792452830188679,0.789835164835165,0.853125,0.789835164835165,0.747916666666667,0.792452830188679,0.723696682464455,NA,1.67055156229383,0.304682040531097
"Epilepsy",2,5,"SFCL",11,0.811320754716981,0.809065934065934,0.861019736842105,0.809065934065934,0.77786211258697,0.811320754716981,0.748696064485538,NA,1.68866542720989,0.304069858100733
"Epilepsy",2,5,"MFCL",1,0.660377358490566,0.664606227106227,0.699095022624434,0.664606227106227,0.645486437922478,0.660377358490566,0.548722800378429,NA,11.7301504737433,0.679245283018868
"Epilepsy",2,5,"MFCL",3,0.69811320754717,0.701694139194139,0.736458333333333,0.701694139194139,0.694179894179894,0.69811320754717,0.598484848484848,NA,6.73070256495768,0.507337526205451
"Epilepsy",2,5,"MFCL",5,0.69811320754717,0.70467032967033,0.740756302521008,0.70467032967033,0.694991789819376,0.69811320754717,0.599243856332703,NA,2.4082676740524,0.406037735849057
"Epilepsy",2,5,"MFCL",7,0.679245283018868,0.68543956043956,0.712820512820513,0.68543956043956,0.669717064544651,0.679245283018868,0.574196597353497,NA,0.64362239373995,0.422025413939161
"Epilepsy",2,5,"MFCL",9,0.660377358490566,0.663232600732601,0.681186868686869,0.663232600732601,0.648484848484848,0.660377358490566,0.548722800378429,NA,0.671315755612928,0.436524574889355
"Epilepsy",2,5,"MFCL",11,0.679245283018868,0.68246336996337,0.707590612002377,0.68246336996337,0.663844086021505,0.679245283018868,0.573793755912961,NA,0.689404736297616,0.429128333073445
"Epilepsy",3,1,"SFCL",1,0.875,0.875595238095238,0.887605042016807,0.875595238095238,0.876042771883289,0.875,0.833120476798638,NA,4.31734704936384,0.25
"Epilepsy",3,1,"SFCL",3,0.928571428571429,0.926785714285714,0.935049019607843,0.926785714285714,0.928685897435897,0.928571428571429,0.904436860068259,NA,1.37202689008956,0.150793650793651
"Epilepsy",3,1,"SFCL",5,0.928571428571429,0.926785714285714,0.930288461538462,0.926785714285714,0.926575682382134,0.928571428571429,0.904559011504048,NA,0.83427150719667,0.158571428571429
"Epilepsy",3,1,"SFCL",7,0.857142857142857,0.857738095238095,0.864877769289534,0.857738095238095,0.856042771883289,0.857142857142857,0.809280544912729,NA,0.896962402443669,0.193877551020408
"Epilepsy",3,1,"SFCL",9,0.857142857142857,0.856547619047619,0.862605042016807,0.856547619047619,0.852163461538462,0.857142857142857,0.809199318568995,NA,0.95472423473829,0.228835978835979
"Epilepsy",3,1,"SFCL",11,0.839285714285714,0.839880952380952,0.849509803921569,0.839880952380952,0.835708014048531,0.839285714285714,0.785623139089749,NA,0.421352625019241,0.242916174734357
