"dataset","seed","fold","s","n_sel","p","k_sel","gamma_sel","bal_acc_knn","acc_knn","macro_f1_knn","bal_acc_kfda","acc_kfda","macro_f1_kfda"
"Epilepsy",4,2,1.18659676249382,3,3,1,2,0.8375,0.839285714285714,0.824552533117605,0.877380952380952,0.875,0.868324372759857
"Epilepsy",4,2,1.27983697434448,3,3,1,2,0.819642857142857,0.821428571428571,0.801262315270936,0.879761904761905,0.875,0.875473664266768
"Epilepsy",4,2,1.3804038007459,3,3,1,0.125,0.836309523809524,0.839285714285714,0.816887315270936,0.880952380952381,0.875,0.877197802197802
"Epilepsy",4,2,1.48887295125201,3,3,1,0.125,0.854166666666667,0.857142857142857,0.839894480519481,0.916666666666667,0.910714285714286,0.912372742200328
"Epilepsy",4,2,1.60586537343063,3,3,1,0.25,0.889880952380952,0.892857142857143,0.883413461538462,0.895833333333333,0.892857142857143,0.894642857142857
"Epilepsy",4,2,1.73205080756888,3,3,1,2,0.925595238095238,0.928571428571429,0.923473945409429,0.908333333333333,0.910714285714286,0.905952380952381
"Epilepsy",4,3,1.02,2,3,1,0.5,0.802380952380952,0.803571428571429,0.800641025641026,0.670238095238095,0.678571428571429,0.671371802577974
"Epilepsy",4,3,1.10014939791998,3,3,1,1,0.873214285714286,0.875,0.869311847572717,0.798214285714286,0.803571428571429,0.802132181543946
"Epilepsy",4,3,1.18659676249382,3,3,1,1,0.873214285714286,0.875,0.869311847572717,0.852380952380952,0.857142857142857,0.849018817204301
"Epilepsy",4,3,1.27983697434448,3,3,1,1,0.891071428571429,0.892857142857143,0.890454545454545,0.857738095238095,0.857142857142857,0.852535739298809
"Epilepsy",4,3,1.3804038007459,3,3,1,1,0.911904761904762,0.910714285714286,0.907852564102564,0.861904761904762,0.857142857142857,0.854212454212454
"Epilepsy",4,3,1.48887295125201,3,3,1,2,0.911904761904762,0.910714285714286,0.907852564102564,0.875595238095238,0.875,0.876418757467145
"Epilepsy",4,3,1.60586537343063,3,3,3,1,0.895238095238095,0.892857142857143,0.889285714285714,0.861904761904762,0.857142857142857,0.854212454212454
