"dataset","seed","fold","n_var","k_sel","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier"
"Epilepsy",12,3,1,1,0.803571428571429,0.808333333333333,0.811111111111111,0.808333333333333,0.793553223388306,0.803571428571429,0.738872403560831,NA,6.78440250614317,0.392857142857143
"Epilepsy",12,3,2,1,0.875,0.873214285714286,0.874417249417249,0.873214285714286,0.868652037617555,0.875,0.832907075873828,NA,4.31734704936384,0.25
"Epilepsy",12,3,3,1,0.892857142857143,0.892261904761905,0.893830128205128,0.892261904761905,0.892547789725209,0.892857142857143,0.856716417910448,NA,3.700583185169,0.214285714285714
"Epilepsy",12,4,1,1,0.851851851851852,0.850824175824176,0.85540293040293,0.850824175824176,0.851139601139601,0.851851851851852,0.802288329519451,NA,5.11685576220899,0.296296296296296
"Epilepsy",12,4,2,1,0.777777777777778,0.774313186813187,0.77359068627451,0.774313186813187,0.763080669330669,0.777777777777778,0.703296703296703,NA,7.67528364331349,0.444444444444444
"Epilepsy",12,4,3,1,0.888888888888889,0.884386446886447,0.90625,0.884386446886447,0.883650250585734,0.888888888888889,0.851716247139588,NA,3.83764182165674,0.222222222222222
"Epilepsy",12,5,1,1,0.792452830188679,0.792582417582418,0.83765664160401,0.792582417582418,0.770245157759062,0.792452830188679,0.723696682464455,NA,7.16842528950976,0.415094339622642
"Epilepsy",12,5,2,1,0.924528301886792,0.927197802197802,0.9375,0.927197802197802,0.924285714285714,0.924528301886792,0.899573661771672,NA,2.60670010527628,0.150943396226415
"Epilepsy",12,5,3,1,0.943396226415094,0.943681318681319,0.943452380952381,0.943681318681319,0.941509971509972,0.943396226415094,0.92453725676317,NA,1.95502507895721,0.113207547169811
"Epilepsy",13,1,1,1,0.821428571428571,0.823809523809524,0.828256302521008,0.823809523809524,0.801366597807087,0.821428571428571,0.762107051826678,NA,6.16763864194834,0.357142857142857
"Epilepsy",13,1,2,1,0.875,0.871428571428571,0.870512820512821,0.871428571428571,0.87037037037037,0.875,0.833049403747871,NA,4.31734704936384,0.25
"Epilepsy",13,1,3,1,0.928571428571429,0.929761904761905,0.933035714285714,0.929761904761905,0.926575682382134,0.928571428571429,0.904640272456364,NA,2.46705545677933,0.142857142857143
"Epilepsy",13,2,1,1,0.839285714285714,0.842857142857143,0.87218045112782,0.842857142857143,0.832263120639094,0.839285714285714,0.786531130876747,NA,5.5508747777535,0.321428571428571
"Epilepsy",13,2,2,1,0.928571428571429,0.933333333333333,0.933035714285714,0.933333333333333,0.927704096669614,0.928571428571429,0.904842820730671,NA,2.46705545677933,0.142857142857143
"Epilepsy",13,2,3,11,0.910714285714286,0.913095238095238,0.921875,0.913095238095238,0.908364055299539,0.910714285714286,0.881104033970276,NA,0.321143286834885,0.183293978748524
"Epilepsy",13,3,1,1,0.839285714285714,0.845238095238095,0.849089635854342,0.845238095238095,0.838243652898825,0.839285714285714,0.786350148367953,NA,5.5508747777535,0.321428571428571
"Epilepsy",13,3,2,1,0.946428571428571,0.947619047619048,0.944871794871795,0.947619047619048,0.945555555555556,0.946428571428571,0.928449744463373,NA,1.8502915925845,0.107142857142857
"Epilepsy",13,3,3,1,0.857142857142857,0.860714285714286,0.871212121212121,0.860714285714286,0.852222222222222,0.857142857142857,0.810249894112664,NA,4.93411091355867,0.285714285714286
"Epilepsy",13,4,1,1,0.814814814814815,0.816758241758242,0.835416666666667,0.816758241758242,0.807407407407407,0.814814814814815,0.753312014618547,NA,6.39606970276124,0.37037037037037
"Epilepsy",13,4,2,1,0.851851851851852,0.848717948717949,0.881829573934837,0.848717948717949,0.83592563089734,0.851851851851852,0.801379310344828,NA,5.11685576220899,0.296296296296296
"Epilepsy",13,4,3,1,0.981481481481482,0.980769230769231,0.984375,0.980769230769231,0.981935483870968,0.981481481481482,0.975229357798165,NA,0.639606970276124,0.037037037037037
"Epilepsy",13,5,1,1,0.849056603773585,0.845695970695971,0.863888888888889,0.845695970695971,0.847851247987118,0.849056603773585,0.798191337458353,NA,5.21340021055256,0.30188679245283
"Epilepsy",13,5,2,1,0.886792452830189,0.884615384615385,0.90625,0.884615384615385,0.872619047619048,0.886792452830189,0.849002849002849,NA,3.91005015791442,0.226415094339623
"Epilepsy",13,5,3,1,0.886792452830189,0.885989010989011,0.888888888888889,0.885989010989011,0.878178335074887,0.886792452830189,0.849002849002849,NA,3.91005015791442,0.226415094339623
"Epilepsy",14,1,1,1,0.892857142857143,0.896428571428571,0.895833333333333,0.896428571428571,0.891806660772178,0.892857142857143,0.857203569910752,NA,3.700583185169,0.214285714285714
"Epilepsy",14,1,2,1,0.892857142857143,0.897619047619048,0.905637254901961,0.897619047619048,0.891369486197072,0.892857142857143,0.857566765578635,NA,3.700583185169,0.214285714285714
"Epilepsy",14,1,3,1,0.928571428571429,0.930952380952381,0.932142857142857,0.930952380952381,0.927129384025936,0.928571428571429,0.904802379940501,NA,2.46705545677933,0.142857142857143
"Epilepsy",14,2,1,1,0.75,0.758333333333333,0.77960927960928,0.758333333333333,0.744706380575946,0.75,0.668918918918919,NA,8.63469409872767,0.5
"Epilepsy",14,2,2,1,0.821428571428571,0.820833333333333,0.826797385620915,0.820833333333333,0.808346942600129,0.821428571428571,0.762308998302207,NA,6.16763864194834,0.357142857142857
