"base","seed","fold","n_noise","distance","p","n_sel","k_sel","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier"
"Setting1",4,1,0,"SFCL",2,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",4,1,0,"MFCL",2,2,3,1,1,1,1,1,1,1,NA,0,0
"Setting1",4,2,0,"SFCL",2,2,3,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.0835598553764597,0.0617283950617284
"Setting1",4,2,0,"MFCL",2,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",4,3,0,"SFCL",2,2,3,1,1,1,1,1,1,1,NA,0.0225258393393425,0.0123456790123457
"Setting1",4,3,0,"MFCL",2,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",4,4,0,"SFCL",2,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",4,4,0,"MFCL",2,2,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"Setting1",4,5,0,"SFCL",2,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",4,5,0,"MFCL",2,2,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"Setting1",4,1,2,"SFCL",4,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",4,1,2,"MFCL",4,2,5,0.888888888888889,0.888888888888889,0.896825396825397,0.888888888888889,0.888500388500388,0.888888888888889,0.833333333333333,NA,0.277311206410185,0.164444444444444
"Setting1",4,2,2,"SFCL",4,2,3,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.0835598553764597,0.0617283950617284
"Setting1",4,2,2,"MFCL",4,2,1,0.833333333333333,0.833333333333333,0.838095238095238,0.833333333333333,0.832167832167832,0.833333333333333,0.75,NA,5.75646273248511,0.333333333333333
"Setting1",4,3,2,"SFCL",4,2,3,1,1,1,1,1,1,1,NA,0.0225258393393425,0.0123456790123457
"Setting1",4,3,2,"MFCL",4,2,9,0.722222222222222,0.722222222222222,0.726190476190476,0.722222222222222,0.712820512820513,0.722222222222222,0.583333333333333,NA,0.396901181451094,0.256515775034294
"Setting1",4,4,2,"SFCL",4,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",4,4,2,"MFCL",4,2,7,0.777777777777778,0.777777777777778,0.791666666666667,0.777777777777778,0.771428571428571,0.777777777777778,0.666666666666667,NA,0.336071368791779,0.224489795918367
"Setting1",4,5,2,"SFCL",4,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",4,5,2,"MFCL",4,2,3,0.888888888888889,0.888888888888889,0.896825396825397,0.888888888888889,0.888500388500388,0.888888888888889,0.833333333333333,NA,0.257223068110289,0.160493827160494
"Setting1",4,1,4,"SFCL",6,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",4,1,4,"MFCL",6,2,1,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.833333333333333,NA,3.83764182165674,0.222222222222222
"Setting1",4,2,4,"SFCL",6,6,3,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.0835598553764597,0.0617283950617284
"Setting1",4,2,4,"MFCL",6,6,1,0.777777777777778,0.777777777777778,0.777777777777778,0.777777777777778,0.777777777777778,0.777777777777778,0.666666666666667,NA,7.67528364331349,0.444444444444444
