"dataset","seed","fold","distance","k","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier"
"japanese_vowels",2,3,"SFCL",11,0.961240310077519,0.959045584045584,0.966501724396461,0.959045584045584,0.959518801895911,0.961240310077519,0.956017729287419,NA,0.115405210726524,0.0640656031776539
"japanese_vowels",2,3,"MFCL",1,0.976744186046512,0.974537037037037,0.977777777777778,0.974537037037037,0.973969081495963,0.976744186046512,0.97361963190184,NA,0.803227358021179,0.0465116279069767
"japanese_vowels",2,3,"MFCL",3,0.968992248062015,0.967592592592593,0.971781305114638,0.967592592592593,0.966679961673704,0.968992248062015,0.964826175869121,NA,0.568233355873631,0.0534022394487511
"japanese_vowels",2,3,"MFCL",5,0.976744186046512,0.976851851851852,0.977591036414566,0.976851851851852,0.975620911791125,0.976744186046512,0.97362682295216,NA,0.591661291046233,0.0626356589147287
"japanese_vowels",2,3,"MFCL",7,0.961240310077519,0.960897435897436,0.966583124477861,0.960897435897436,0.961188243565353,0.961240310077519,0.956032719836401,NA,0.616046023142038,0.0718240784685967
"japanese_vowels",2,3,"MFCL",9,0.961240310077519,0.960897435897436,0.966583124477861,0.960897435897436,0.961188243565353,0.961240310077519,0.956032719836401,NA,0.118949758439822,0.0654608096468562
"japanese_vowels",2,3,"MFCL",11,0.961240310077519,0.960897435897436,0.966583124477861,0.960897435897436,0.961188243565353,0.961240310077519,0.956032719836401,NA,0.134487641309229,0.0697033762572875
"japanese_vowels",2,4,"SFCL",1,0.9140625,0.901607651607652,0.925175967823027,0.901607651607652,0.906710664318075,0.9140625,0.902418740037425,NA,2.96817609643764,0.171875
"japanese_vowels",2,4,"SFCL",3,0.96875,0.964387464387464,0.977777777777778,0.964387464387464,0.968733225979603,0.96875,0.964547846558648,NA,0.630098366053003,0.0798611111111111
"japanese_vowels",2,4,"SFCL",5,0.9765625,0.973646723646724,0.982456140350877,0.973646723646724,0.976386013342535,0.9765625,0.973418247265679,NA,0.650101783165885,0.08375
"japanese_vowels",2,4,"SFCL",7,0.96875,0.964387464387464,0.973196881091618,0.964387464387464,0.966285003241525,0.96875,0.964560116287118,NA,0.405221378797005,0.0813137755102041
"japanese_vowels",2,4,"SFCL",9,0.9609375,0.955128205128205,0.963095870990608,0.955128205128205,0.957062341844951,0.9609375,0.955700145358898,NA,0.175772699985123,0.0914351851851852
"japanese_vowels",2,4,"SFCL",11,0.9609375,0.955128205128205,0.963095870990608,0.955128205128205,0.957062341844951,0.9609375,0.955700145358898,NA,0.177877095149422,0.0911673553719008
"japanese_vowels",2,4,"MFCL",1,0.9453125,0.944955406911929,0.947600909557431,0.944955406911929,0.944825906782429,0.9453125,0.938018815716657,NA,1.88883933409668,0.109375
"japanese_vowels",2,4,"MFCL",3,0.953125,0.945868945868946,0.950617283950617,0.945868945868946,0.947167755991285,0.953125,0.946851211072664,NA,0.0926775010735531,0.0625
