"dataset","seed","fold","s","n_sel","p","k_sel","gamma_sel","bal_acc_knn","acc_knn","macro_f1_knn","bal_acc_kfda","acc_kfda","macro_f1_kfda"
"japanese_vowels",4,2,1.44647765551479,4,12,7,0.125,0.843701668701669,0.86046511627907,0.844812375400611,0.91460113960114,0.914728682170543,0.911990280596704
"japanese_vowels",4,2,1.72253283030825,5,12,7,0.125,0.926638176638177,0.937984496124031,0.930501385739481,0.906664631664632,0.906976744186046,0.907608086952238
"japanese_vowels",4,2,2.05127216461134,6,12,3,0.5,0.948611111111111,0.953488372093023,0.949775111406845,0.95787037037037,0.961240310077519,0.959089325014993
"japanese_vowels",4,2,2.44275024503092,8,12,9,8,0.95787037037037,0.961240310077519,0.960308399821024,0.950925925925926,0.953488372093023,0.950347008893005
"japanese_vowels",4,2,2.90894054067624,11,12,7,8,0.95787037037037,0.961240310077519,0.961452740834646,0.983333333333333,0.984496124031008,0.984801716788664
"japanese_vowels",4,2,3.46410161513775,12,12,1,8,0.983333333333333,0.984496124031008,0.983855434796631,0.983333333333333,0.984496124031008,0.984801716788664
"japanese_vowels",4,3,1.02,2,12,7,0.125,0.522894697894698,0.534883720930233,0.511373465523626,0.695225607725608,0.697674418604651,0.690183182140521
"japanese_vowels",4,3,1.21466341371801,2,12,11,0.25,0.742562067562068,0.744186046511628,0.725095922794206,0.728874366374366,0.728682170542636,0.729130016968181
"japanese_vowels",4,3,1.44647765551479,4,12,7,2,0.813329263329263,0.813953488372093,0.810864221189322,0.876442538942539,0.883720930232558,0.874327925467482
"japanese_vowels",4,3,1.72253283030825,5,12,7,0.125,0.863858363858364,0.875968992248062,0.857900940191843,0.901505901505901,0.906976744186046,0.900168552824273
"japanese_vowels",4,3,2.05127216461134,6,12,7,4,0.890923890923891,0.89922480620155,0.888719840494034,0.902218152218152,0.906976744186046,0.900953530219542
"japanese_vowels",4,3,2.44275024503092,8,12,7,2,0.925646113146113,0.930232558139535,0.92535929487893,0.929283679283679,0.930232558139535,0.927598546329262
"japanese_vowels",4,3,2.90894054067624,11,12,1,4,0.945767195767196,0.945736434108527,0.946189433160759,0.977564102564103,0.976744186046512,0.977380179330443
"japanese_vowels",4,3,3.46410161513775,12,12,7,2,0.934905372405372,0.937984496124031,0.935169873010764,0.978174603174603,0.976744186046512,0.977294112392173
"japanese_vowels",4,4,1.02,2,12,7,0.125,0.542409925018621,0.546875,0.529935871307845,0.734069694395781,0.75,0.727783680364057
"japanese_vowels",4,4,1.21466341371801,2,12,7,0.125,0.72922926509883,0.7421875,0.730152637109159,0.75721784254393,0.765625,0.75070313930615
