"dataset","method","family","needs_grid","seed","fold","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier","k_sel","gamma_sel","s_sel","n_sel","lambda","seconds","ok","error","lambda_method"
"Setting5_async","MFKmL-C + kFDA","proposed",FALSE,3,1,0.388888888888889,0.388888888888889,0.318181818181818,0.388888888888889,0.329411764705882,0.388888888888889,0.0833333333333334,NA,1.19204646783416,0.709102344440607,NA,1,2.23606797749979,5,0.0510712130323902,0.00275707244873047,TRUE,"","cv"
"Setting5_async","MFKmL-C + medoid","proposed",FALSE,3,1,0.0555555555555556,0.0555555555555556,0.037037037037037,0.0555555555555556,0.0444444444444444,0.0555555555555556,-0.416666666666667,NA,1.10843349031741,0.67508408947482,NA,1,2.23606797749979,5,0.0510712130323902,0.000293970108032227,TRUE,"","cv"
"Setting5_async","SFKmL-C + kNN","proposed",FALSE,3,2,0.777777777777778,0.777777777777778,0.866666666666667,0.777777777777778,0.75,0.777777777777778,0.666666666666667,NA,4.04981321108835,0.37037037037037,3,1,1.34555653574313,2,4.08569704259121,0.0243759155273438,TRUE,"","cv"
"Setting5_async","SFKmL-C + kFDA","proposed",FALSE,3,2,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.833333333333333,NA,0.614923304596218,0.331090044786162,NA,1,1.34555653574313,2,4.08569704259121,0.0166721343994141,TRUE,"","cv"
"Setting5_async","SFKmL-C + medoid","proposed",FALSE,3,2,0.777777777777778,0.777777777777778,0.791666666666667,0.777777777777778,0.771428571428571,0.777777777777778,0.666666666666667,NA,0.854538812010627,0.500742970147017,NA,1,1.34555653574313,2,4.08569704259121,0.0139009952545166,TRUE,"","cv"
"Setting5_async","MFKmL-C + kNN","proposed",FALSE,3,2,0.444444444444444,0.444444444444444,0.57051282051282,0.444444444444444,0.372431077694236,0.444444444444444,0.166666666666667,NA,6.35291863162732,0.626666666666667,5,1,2.23606797749979,5,4.08569704259121,0.0116229057312012,TRUE,"","cv"
"Setting5_async","MFKmL-C + kFDA","proposed",FALSE,3,2,0.555555555555556,0.555555555555556,0.576190476190476,0.555555555555556,0.562937062937063,0.555555555555556,0.333333333333333,NA,1.09132530826257,0.664700263331563,NA,1,2.23606797749979,5,4.08569704259121,0.00277495384216309,TRUE,"","cv"
"Setting5_async","MFKmL-C + medoid","proposed",FALSE,3,2,0.555555555555556,0.555555555555556,0.737179487179487,0.555555555555556,0.505764411027569,0.555555555555556,0.333333333333333,NA,1.07701097579859,0.649043413153498,NA,1,2.23606797749979,5,4.08569704259121,0.000283002853393555,TRUE,"","cv"
"Setting5_async","SFKmL-C + kNN","proposed",FALSE,3,3,0.888888888888889,0.888888888888889,0.916666666666667,0.888888888888889,0.885714285714286,0.888888888888889,0.833333333333333,NA,3.83764182165674,0.222222222222222,1,1,1.34555653574313,2,0.0510712130323902,0.0260689258575439,TRUE,"","cv"
"Setting5_async","SFKmL-C + kFDA","proposed",FALSE,3,3,0.833333333333333,0.833333333333333,0.838095238095238,0.833333333333333,0.832167832167832,0.833333333333333,0.75,NA,0.638828167939897,0.34979355325379,NA,1,1.34555653574313,2,0.0510712130323902,0.0265419483184814,TRUE,"","cv"
"Setting5_async","SFKmL-C + medoid","proposed",FALSE,3,3,0.833333333333333,0.833333333333333,0.888888888888889,0.833333333333333,0.822222222222222,0.833333333333333,0.75,NA,0.740789228998451,0.421002867653665,NA,1,1.34555653574313,2,0.0510712130323902,0.0134978294372559,TRUE,"","cv"
"Setting5_async","MFKmL-C + kNN","proposed",FALSE,3,3,0.444444444444444,0.444444444444444,0.5,0.444444444444444,0.461904761904762,0.444444444444444,0.166666666666667,NA,19.1882091082837,1.11111111111111,1,1,2.23606797749979,5,0.0510712130323902,0.0108401775360107,TRUE,"","cv"
"Setting5_async","MFKmL-C + kFDA","proposed",FALSE,3,3,0.611111111111111,0.611111111111111,0.638888888888889,0.611111111111111,0.612698412698413,0.611111111111111,0.416666666666667,NA,0.995787155360429,0.597702551916669,NA,1,2.23606797749979,5,0.0510712130323902,0.00279903411865234,TRUE,"","cv"
"Setting5_async","MFKmL-C + medoid","proposed",FALSE,3,3,0.5,0.5,0.5,0.5,0.5,0.5,0.25,NA,1.04053348488846,0.626946269334766,NA,1,2.23606797749979,5,0.0510712130323902,0.000489950180053711,TRUE,"","cv"
"Setting5_async","SFKmL-C + kNN","proposed",FALSE,3,4,0.666666666666667,0.666666666666667,0.674603174603175,0.666666666666667,0.646316646316646,0.666666666666667,0.5,NA,0.663650585228584,0.481175390266299,11,1,1.34555653574313,2,4.08569704259121,0.0259170532226562,TRUE,"","cv"
"Setting5_async","SFKmL-C + kFDA","proposed",FALSE,3,4,0.666666666666667,0.666666666666667,0.694444444444444,0.666666666666667,0.668253968253968,0.666666666666667,0.5,NA,0.739205942169036,0.431201446273998,NA,1,1.34555653574313,2,4.08569704259121,0.0166518688201904,TRUE,"","cv"
"Setting5_async","SFKmL-C + medoid","proposed",FALSE,3,4,0.555555555555556,0.555555555555556,0.569444444444444,0.555555555555556,0.553968253968254,0.555555555555556,0.333333333333333,NA,0.830065526041205,0.493782134135062,NA,1,1.34555653574313,2,4.08569704259121,0.0148589611053467,TRUE,"","cv"
