"method","HighDim20","HighDim50","Imbalanced","LeadLag","Phase","Phase_nowarp","Setting1","Setting2","Setting2_async","Setting2a","Setting2b","Setting3","Setting4","Setting5","Setting5_async","Setting6","Setting6_async","Shape","Shape_async","Shape_noise","SharedWarp","SyncBreak","Thyroid_like","OVERALL"
"1NN-Euclid",0.57,0.657777777777778,0.384444444444444,0.00333333333333334,0.555555555555556,0.0122222222222222,0.121111111111111,0.266666666666666,0.393333333333333,0.297777777777778,0.334444444444444,0.361111111111111,0.693333333333333,0.498888888888889,0.586666666666667,0.481111111111111,0.496666666666667,0.122222222222222,0.467777777777778,0.414444444444444,0.45,0.541666666666667,0.808888888888889,0.413888888888889
"SFKmL-C(gap) + medoid",0.37977171054329,0.390076343919905,0.332910603020515,0.104434967973648,0.514454630420823,0.415919576209287,0.364298275452761,0.375104984709256,0.45679368924158,0.391860656928316,0.37830587631107,0.38160503303168,0.459044926693157,0.375980598713728,0.449018565799312,0.378839516717183,0.441295889262667,0.41744341358277,0.476842214704628,0.416943058938664,0.504045197717749,0.510923455518058,0.558324531548051,0.411923378998178
"SFKmL-C(gaplab) + medoid",0.380821964342723,0.390076343919905,0.331978235474189,0.104434967973648,0.513888762296901,0.415919576209287,0.351216346943792,0.375281294438526,0.454291800040194,0.387444372314701,0.378533876269211,0.380947925327047,0.452091037633508,0.376025496921808,0.447218511059706,0.378364236540355,0.438399411647626,0.41687596741201,0.476939024716612,0.416928984229379,0.50589653149298,0.512166548668557,0.558275889737489,0.410609439374355
"MFKmL-C + kNN",0.545083191520325,0.649264841363543,0.34101355505165,0,0.519928597965731,0.368406399550603,0.0469207468995828,0.0713091906721536,0.514311469906467,0.0948687326782564,0.134131711674569,0.252839506172839,0.346751524313429,0.398514165313781,0.854777378031442,0.505207521746242,0.825871535159654,0.0367821169620111,0.850223396890641,0.395112622179096,0.268268786816839,0.399355986443144,0.853012422305929,0.403128495635562
"DTW + kFDA",0.400679453232511,0.46816364445743,0.368479734329927,0.0398017318859473,0.468680545558318,0.286218505110396,0.195305905484151,0.295647105861919,0.487741975509812,0.297144519680653,0.327098320532107,0.337093684784371,0.334422980462795,0.396358996045817,0.626115449417406,0.39670788967413,0.624080317163401,0.288525741335744,0.670659446072636,0.422801746730979,0.303546963985148,0.437774655204079,0.671364702428016,0.397583218041204
"SFKmL-C(dense) + kFDA",0.345271169577128,0.359573396295479,0.310350733293901,0.0585542316644535,0.423144137873335,0.305581222210676,0.237529185858261,0.263895005100029,0.377017687284808,0.267321710147736,0.295739667447359,0.285133240601853,0.327643101946547,0.345013291302459,0.480140525935105,0.350531824243817,0.493663765221615,0.292295292758668,0.47778303992197,0.388065819005614,0.586376854288623,0.625680567553121,0.564010215473894,0.367839812391585
"Euclid + kNN",0.478475487600067,0.470315955264873,0.379283950617284,0.00333333333333334,0.527372839506173,0.0113883597883598,0.121471373761898,0.273086419753086,0.364328042328042,0.299698765432099,0.326068127991937,0.357629629629629,0.675643738977072,0.463682358942965,0.494422911910743,0.418591584782061,0.458997548540213,0.126607407407407,0.341949853606034,0.303118045939595,0.423617335590496,0.481087709917147,0.581024803198156,0.364399807992116
"DTW + kNN",0.456754414388277,0.466963156288601,0.310435474930713,0,0.336320409620842,0.105280640112386,0.00502504825621709,0.149024842529604,0.444150972516341,0.197476543209876,0.192985537918871,0.247761753590325,0.408588382646872,0.339186860427264,0.823529574311104,0.399859487798112,0.808459125532333,0.0470467008202458,0.869397314124779,0.225080130515628,0.255052097974176,0.301376373367427,0.855106885340266,0.358472248966098
"Euclid + kFDA",0.397878145521818,0.46684254297659,0.291559735365265,0.0549174460553283,0.628095592486229,0.247422549625479,0.20074183269126,0.253272552374982,0.328940954953617,0.254465655868858,0.280453197865965,0.267052485963405,0.322051802467364,0.305462183472512,0.377647188808685,0.34778695633496,0.376264304461444,0.284425614808288,0.397524713350132,0.397363089167045,0.362121202492834,0.458059025607047,0.490185110985101,0.338718864508879
"SFKmL-C + kFDA",0.262009754951076,0.264669532578951,0.259485891437752,0.0404586495391031,0.364204040645996,0.280532263040375,0.237700994085716,0.252855120134714,0.409239515215512,0.250146895326089,0.297952717289993,0.256544718773706,0.319362950116821,0.256665067089634,0.386164273049554,0.257978925361262,0.382058751161429,0.295924082424432,0.351404702688343,0.293910548477688,0.625077795131148,0.605131976343993,0.457178761723803,0.322028605503786
"MFPLS-DA",0.345551513966385,0.447679940288074,0.16519405696733,0.0234336683733006,0.964491557729176,6.7651411154202e-164,0.0316533289831178,0.093143851818531,0.214775987045961,0.0858991913653033,0.12696353183219,0.12380789504703,0.329887308481583,0.221790189653301,0.341826963802393,0.25790573699114,0.305169328648368,0.221264446223579,0.432211592239467,0.401893736338492,0.572866710603037,0.847770173063187,0.603126857642621,0.311230763787112
