"method","HighDim20","HighDim50","Imbalanced","LeadLag","Phase","Phase_nowarp","Setting1","Setting2","Setting2_async","Setting2a","Setting2b","Setting3","Setting4","Setting5","Setting5_async","Setting6","Setting6_async","Shape","Shape_async","Shape_noise","SharedWarp","SyncBreak","Thyroid_like","OVERALL"
"DTW + kFDA",0.832687095584154,0.78205574980575,0.763653347042821,1,0.707312851636381,1,0.975779775779776,0.953952380952381,0.671499655802287,0.949688311688312,0.899395992895993,0.907039146039146,0.907849483849484,0.797447809271339,0.468243786170257,0.807103385176914,0.468938597464913,0.972877788877789,0.393406662509604,0.771156877980407,0.784990412365412,0.661975017629429,0.389856190650308,0.776822187790124
"Euclid + kNN",0.69395516085222,0.641363784048769,0.619877550927426,0.998321678321678,0.711070253820254,0.996083916083916,0.934003996003996,0.850478530728531,0.78109683181742,0.840173234173234,0.820514633514633,0.803508785332315,0.631130863689687,0.72567224278989,0.682070661593881,0.726179427870604,0.725056404379934,0.931899378399378,0.785400743821022,0.814676483647072,0.753370240870241,0.716081755662638,0.608532503272441,0.773500828766138
"1NN-DTW",0.702631925808396,0.646561748393792,0.716571383021258,1,0.782945910298851,0.93533744033744,0.997202797202797,0.926764624264624,0.725512350938821,0.901427052250582,0.900207736707737,0.872257242757243,0.785631273954803,0.775333704794231,0.435131787058258,0.776630242850831,0.446341642934522,0.976568320568321,0.377559778456837,0.844614438937968,0.850116383616384,0.800041125541125,0.401991778374131,0.764233943002998
"DTW + kNN",0.689904392677612,0.632484271633652,0.678102441334925,1,0.807880728204258,0.974274503274503,0.997202797202797,0.918862859362859,0.717152126196244,0.894088779412309,0.891774022274022,0.867438505938506,0.768424355600826,0.786960086210086,0.424063159893655,0.744813675431322,0.443074101165432,0.973208125208125,0.369189736762492,0.861519496843026,0.852681845931846,0.817233072483072,0.415053891241198,0.761973346707946
"MFKmL-C + SVM",0.804994528891588,0.698040641820054,0.774919457675979,0.999160839160839,0.58852313029248,0.772604958594897,0.936406482406482,0.952762626262626,0.701021904021904,0.945438561438561,0.9277828005328,0.940067432567433,0.687254484307116,0.824916856019797,0.456174493348642,0.867047267547268,0.441142086671498,0.979284493284493,0.395847317285398,0.707100145726307,0.80761036838978,0.708664054899349,0.41892902161478,0.753725824033047
"MFKmL-C + kNN",0.638735836603484,0.545835506827767,0.628129816613875,1,0.625666303195715,0.771993486046118,0.974677100677101,0.960431457431457,0.702955184249302,0.949762348762349,0.923549117549118,0.863279220779221,0.816444546194546,0.714151053195171,0.423791294845306,0.682239906063435,0.443385749040548,0.980431568431568,0.426845010625196,0.731715111141582,0.841726991962286,0.757296203796204,0.418376969149415,0.731366077529598
"Euclid + centroid",0.783590569561158,0.780431725681726,0.699838704827111,0.935904428904429,0.410777894763189,0.999440559440559,0.939464646464646,0.711768546268546,0.726087921337921,0.670149128649129,0.708719685543215,0.79468829101182,0.457149818590995,0.716792022792023,0.719905444228974,0.787681788255318,0.799165329768271,0.792609277432807,0.763476142049671,0.78173849081202,0.486276088290794,0.475394446240035,0.611093373946315,0.719658448906986
"KmL3d-C (NC-Euclid)",0.783590569561158,0.780431725681726,0.699838704827111,0.935904428904429,0.410777894763189,0.999440559440559,0.939464646464646,0.711768546268546,0.726087921337921,0.670149128649129,0.708719685543215,0.79468829101182,0.457149818590995,0.716792022792023,0.719905444228974,0.787681788255318,0.799165329768271,0.792609277432807,0.763476142049671,0.78173849081202,0.486276088290794,0.475394446240035,0.611093373946315,0.719658448906986
"MFKmL-C + mean",0.741129601879602,0.660393616560025,0.747692689818171,0.987388278388278,0.516967827436868,0.575453708056649,0.913675990675991,0.849256021756022,0.669113109113109,0.835716653716654,0.834533122106651,0.900298312798313,0.52084602921445,0.788892378318849,0.470460584078231,0.801025752025752,0.456538073782656,0.907568006068006,0.428602850280095,0.632529899294605,0.665938142739613,0.655733659314542,0.423806213938567,0.694937413972248
"MFKmL-C + kFDA",0.556674166476798,0.524102601331703,0.72023704770524,0.945737262737263,0.453893199622302,0.566355191649309,0.930188034188034,0.968494727494727,0.686454968778498,0.957139638139638,0.926720464720465,0.937238539238539,0.842404391904392,0.765841290517761,0.409598843966491,0.663393159128453,0.463612163979811,0.966892995892996,0.376627637068813,0.544054961378491,0.785847291597291,0.545450816340522,0.374695991372462,0.691811103705652
"Subspace",0.644259573129542,0.565771569618319,0.365733550952221,0.990769230769231,0.722669899816959,0.976421911421911,0.906724588048117,0.537572721138511,0.521091847637513,0.543847757047447,0.510350544307201,0.713716977466977,0.607778154278928,0.530312602487525,0.52587278155854,0.643591143605849,0.604152117633542,0.845930708180708,0.519173250783158,0.587446607142428,0.930624042624043,0.726170107670108,0.434590614722968,0.650198795740945
"DD-classifier",0.645216685819627,0.601063027930675,0.590383136572092,0.902941641691642,0.360436556706681,0.814287430434489,0.975427683427683,0.649268540827364,0.663978695281327,0.561565678330384,0.643229649435532,0.690256072359014,0.498338849059437,0.628915843959962,0.632993621531547,0.674681757240581,0.682307893631423,0.70153659086012,0.667975787284611,0.697276956159309,0.470126016140722,0.483036203175909,0.567765604765605,0.643609127070684
"DTW + medoid",0.606252975381458,0.542482650762837,0.632702090609337,1,0.543198806095865,0.788195943490061,0.971640803640804,0.746987787811317,0.650719156860798,0.695386188430306,0.742921585495115,0.701542231962511,0.562331474625592,0.646259586188379,0.37047825171045,0.64566995966996,0.389079410584829,0.892455155955156,0.347090244321668,0.749497189085424,0.580599116569705,0.57579955910103,0.405299096872626,0.642895185444575
"1NN-DDTW",0.48819880941785,0.423751000432889,0.463079644243812,0.962200799200799,0.541381916558387,0.755740014887074,0.880324044147574,0.853639971139971,0.548991712220814,0.856735336558866,0.7994249709985,0.752023733347263,0.56383009746245,0.532340747487806,0.399004165224753,0.565266106127561,0.368360457625164,0.987732822732823,0.366439153954634,0.564318742804037,0.833858721344016,0.676522921522921,0.358269506637154,0.63223632156857
"Euclid + medoid",0.613780026360522,0.540524459372757,0.568394029701026,0.928678238428238,0.383314975329681,0.946729104229104,0.811117295014354,0.586509217505347,0.64403903667139,0.55254885892115,0.589326617654791,0.63520346910285,0.406120365358755,0.557497613984456,0.571436046352455,0.618906975921682,0.61217217368688,0.747257422860364,0.680314909319553,0.678250622471211,0.478971246890365,0.454113351517763,0.497667821256831,0.613168429474414
"MFKmL-C + medoid",0.539839601088053,0.46742391306091,0.614792423786627,0.978949050949051,0.449885984070969,0.544761231143584,0.910078088578089,0.746330919080919,0.607146640453916,0.769057342439695,0.729314525888055,0.65597273423744,0.487493539885181,0.606769742154417,0.392415581809545,0.584164059853688,0.381107452947236,0.901450160950161,0.391055487998986,0.584755783432254,0.639237638178815,0.562900308025308,0.386309002000178,0.605704835304916
"MaxDepth-MBD",0.538762640808138,0.511358282094956,0.414879103951691,0.892767649017649,0.344154586667576,0.81070797938445,0.943773282273282,0.55196439940635,0.580404215094618,0.494292071158776,0.546591277287098,0.56501056301874,0.468153504734,0.540300172250637,0.540632687974793,0.555582674398733,0.551488080627837,0.695128914658326,0.68918370083076,0.696286477139418,0.457016268861857,0.457814558807206,0.557903018235061,0.58278939602965
"DTW + DBA",0.488539026247231,0.439134679588072,0.508586143565654,1,0.416004600977511,0.692429163429163,0.880445413518943,0.574867629647041,0.421347503691325,0.406746728345564,0.581881909857142,0.694831795025293,0.560224286835742,0.512809216552082,0.3631830605182,0.578846769816584,0.452162739765681,0.751479013361366,0.3829720790905,0.517941410326859,0.791702710688005,0.813335494570789,0.415370901973843,0.575862707712721
"NC-DBA",0.488539026247231,0.439134679588072,0.508586143565654,1,0.416004600977511,0.692429163429163,0.880445413518943,0.574867629647041,0.421347503691325,0.406746728345564,0.581881909857142,0.694831795025293,0.560224286835742,0.512809216552082,0.3631830605182,0.578846769816584,0.452162739765681,0.751479013361366,0.3829720790905,0.517941410326859,0.791702710688005,0.813335494570789,0.415370901973843,0.575862707712721
"MaxDepth-MBD (w)",0.436696164683444,0.443430551266734,0.329109208565125,0.921964951714952,0.353408642412512,0.809896319366908,0.991048951048951,0.362368257353989,0.573617529925243,0.315243639907054,0.472790419210967,0.383583245923298,0.489462245528809,0.385905097339308,0.560489790192408,0.403238659860951,0.583710052243166,0.688163496863187,0.685643868887677,0.696161333764275,0.466311684230802,0.450290838246721,0.557828840234413,0.537407121250908
"MaxDepth-MFHD",0.166666666666667,0.166666666666667,0.353227591441634,0.78575987574517,0.313047567127288,0.650301429736414,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.469047561027437,0.477111504508563,0.291974463034162,0.277395974856669,0.166666666666667,0.50386776839718,0.531958794158485,0.333333333333333,0.563782872356402,0.432336924599309,0.332600535956031
