"base","perturbed","method","n_pairs","mean_base","mean_pert","loss","t"
"Setting6","Setting6_async","Subspace",100,0.652222222222222,0.614444444444445,0.0377777777777777,-2.91223328603952
"Setting6","Setting6_async","Euclid + kFDA",100,0.882777777777778,0.845,0.0377777777777777,-4.71678449662038
"Setting6","Setting6_async","SFKmL-C(dense) + mean",100,0.883888888888889,0.797222222222222,0.0866666666666666,-8.38538804492794
"Setting6","Setting6_async","SFKmL-C(dense) + SVM",100,0.97,0.870555555555555,0.0994444444444444,-13.1089088401747
"Setting6","Setting6_async","DistSpace-Frechet",100,0.98,0.870555555555555,0.109444444444444,-14.4146341463415
"Setting6","Setting6_async","SFKmL-C + SVM",100,0.977777777777778,0.864444444444444,0.113333333333333,-13.5668466524648
"Setting6","Setting6_async","SFKmL-C + kNN",100,0.981111111111111,0.857777777777778,0.123333333333333,-15.5739852224435
"Setting6","Setting6_async","SFKmL-C + medoid",100,0.953333333333333,0.827777777777778,0.125555555555555,-14.787493137624
"Setting6","Setting6_async","SFKmL-C + mean",100,0.948888888888889,0.821666666666667,0.127222222222222,-12.970662392228
"Setting6","Setting6_async","SFKmL-C(gaplab) + medoid",100,0.953333333333333,0.822777777777778,0.130555555555555,-14.6496875877288
"Setting6","Setting6_async","SFKmL-C(gap) + medoid",100,0.955,0.821666666666667,0.133333333333333,-15.0427960926722
"Setting6","Setting6_async","SFKmL-C(dense) + medoid",100,0.814444444444444,0.675555555555556,0.138888888888889,-10.3375666853517
"Setting6","Setting6_async","DTW + DBA",100,0.606111111111111,0.465555555555556,0.140555555555556,-8.9061332756433
"Setting6","Setting6_async","NC-DBA",100,0.606111111111111,0.465555555555556,0.140555555555556,-8.9061332756433
"Setting6","Setting6_async","SFKmL-C + kFDA",100,0.978333333333333,0.832777777777778,0.145555555555556,-14.7217202484061
"Setting6","Setting6_async","SFKmL-C(dense) + kNN",100,0.934444444444444,0.782777777777778,0.151666666666667,-15.0509772072652
"Setting6","Setting6_async","MFKmL-C + kFDA",100,0.669444444444445,0.473333333333333,0.196111111111111,-13.7879617280152
"Setting6","Setting6_async","MFKmL-C + medoid",100,0.607777777777778,0.396666666666667,0.211111111111111,-13.6790051994315
"Setting6","Setting6_async","1NN-DDTW",100,0.596111111111111,0.377777777777778,0.218333333333333,-14.0325507374771
"Setting6","Setting6_async","MFKmL-C + kNN",100,0.7,0.461111111111111,0.238888888888889,-15.9781493055399
"Setting6","Setting6_async","SFKmL-C(dense) + kFDA",100,0.893888888888889,0.652222222222222,0.241666666666666,-18.4429165570491
"Setting6","Setting6_async","DTW + medoid",100,0.672777777777778,0.400555555555555,0.272222222222222,-17.5584626575034
"Setting6","Setting6_async","DTW + kNN",100,0.762222222222222,0.461666666666667,0.300555555555556,-19.5233251036323
"Setting6","Setting6_async","DTW + kFDA",100,0.809444444444444,0.477777777777778,0.331666666666667,-20.036401491165
"Setting6","Setting6_async","MFKmL-C + mean",100,0.802222222222222,0.470555555555556,0.331666666666667,-21.2837568423459
"Setting6","Setting6_async","1NN-DTW",100,0.786666666666667,0.453888888888889,0.332777777777778,-19.6816778904899
"Setting6","Setting6_async","DTW + SVM",100,0.855,0.485,0.37,-25.8246071318729
"Setting6","Setting6_async","MFKmL-C + SVM",100,0.868888888888889,0.466111111111111,0.402777777777778,-32.1721114298363
"Shape","Shape_async","MaxDepth-MFHD",100,0.333333333333333,0.522777777777778,-0.189444444444445,16.1715590220055
"Shape","Shape_async","MaxDepth-MBD (w)",100,0.702777777777778,0.697777777777778,0.00500000000000003,-0.341851834159431
"Shape","Shape_async","MaxDepth-MBD",100,0.707777777777778,0.701111111111111,0.00666666666666666,-0.452396855532906
"Shape","Shape_async","Euclid + centroid",100,0.796111111111111,0.767777777777778,0.0283333333333333,-1.93042037263685
"Shape","Shape_async","KmL3d-C (NC-Euclid)",100,0.796111111111111,0.767777777777778,0.0283333333333333,-1.93042037263685
"Shape","Shape_async","DD-classifier",100,0.708333333333333,0.674444444444445,0.0338888888888889,-2.08205225049723
"Shape","Shape_async","SFKmL-C + kNN",100,0.974444444444444,0.920555555555555,0.0538888888888889,-7.21559291915034
"Shape","Shape_async","MFPCA-LDA",100,0.848888888888889,0.783888888888889,0.0649999999999999,-4.76006548313378
"Shape","Shape_async","Euclid + medoid",100,0.752777777777778,0.686666666666667,0.0661111111111111,-4.4965121544336
"Shape","Shape_async","SFKmL-C + mean",100,0.88,0.812777777777778,0.0672222222222221,-4.89635037659384
"Shape","Shape_async","SFKmL-C(gaplab) + medoid",100,0.905,0.834444444444444,0.0705555555555555,-6.13884914579405
"Shape","Shape_async","SFKmL-C(gap) + medoid",100,0.908888888888889,0.836666666666667,0.0722222222222222,-6.34946160320719
"Shape","Shape_async","Euclid + SVM",100,0.89,0.816111111111111,0.0738888888888888,-6.06478747347008
"Shape","Shape_async","SFKmL-C + medoid",100,0.900555555555555,0.82,0.0805555555555554,-7.59595581204529
"Shape","Shape_async","SFKmL-C + kFDA",100,0.956111111111111,0.874444444444444,0.0816666666666666,-7.89850426355225
"Shape","Shape_async","SFKmL-C + SVM",100,0.974444444444444,0.892777777777778,0.0816666666666667,-8.72672583690723
"Shape","Shape_async","DistSpace-Frechet",100,0.893888888888889,0.808333333333333,0.0855555555555554,-7.21650800291862
"Shape","Shape_async","SFKmL-C(dense) + SVM",100,0.973333333333333,0.886111111111111,0.0872222222222222,-9.60497418484442
"Shape","Shape_async","SFKmL-C(dense) + mean",100,0.887222222222222,0.778888888888889,0.108333333333333,-8.22284484644198
"Shape","Shape_async","MFPCA-SVM",100,0.959444444444444,0.828333333333333,0.131111111111111,-13.5337296765628
"Shape","Shape_async","MFPLS-DA",100,0.861111111111111,0.723888888888889,0.137222222222222,-10.395457579148
"Shape","Shape_async","Euclid + kNN",100,0.932222222222222,0.789444444444444,0.142777777777778,-12.4109994976164
"Shape","Shape_async","SFKmL-C(dense) + kNN",100,0.979444444444444,0.827777777777778,0.151666666666667,-15.287486102034
"Shape","Shape_async","Euclid + kFDA",100,0.952777777777778,0.793888888888889,0.158888888888889,-14.6746113645349
"Shape","Shape_async","DistSpace-bagdist",100,0.969444444444444,0.801111111111111,0.168333333333333,-14.6255346057041
"Shape","Shape_async","1NN-Euclid",100,0.938888888888889,0.766111111111111,0.172777777777778,-14.7555469149894
"Shape","Shape_async","SFKmL-C(dense) + medoid",100,0.908333333333333,0.704444444444445,0.203888888888889,-17.3275988635468
"Shape","Shape_async","SFKmL-C(dense) + kFDA",100,0.96,0.691666666666667,0.268333333333333,-21.0321525135175
"Shape","Shape_async","Subspace",100,0.848333333333333,0.530555555555556,0.317777777777778,-21.9521617473011
"Shape","Shape_async","DTW + DBA",100,0.757777777777778,0.396111111111111,0.361666666666667,-25.7862000489669
"Shape","Shape_async","NC-DBA",100,0.757777777777778,0.396111111111111,0.361666666666667,-25.7862000489669
"Shape","Shape_async","MFKmL-C + mean",100,0.908333333333333,0.442222222222222,0.466111111111111,-36.9006197468947
"Shape","Shape_async","MFKmL-C + medoid",100,0.901666666666667,0.408333333333333,0.493333333333333,-33.6224885022836
"Shape","Shape_async","DTW + medoid",100,0.893333333333333,0.367222222222222,0.526111111111111,-40.8169586433091
"Shape","Shape_async","DTW + SVM",100,0.970555555555555,0.437777777777778,0.532777777777778,-42.3275515226054
"Shape","Shape_async","MFKmL-C + kNN",100,0.980555555555556,0.438888888888889,0.541666666666667,-46.9607958244318
"Shape","Shape_async","MFKmL-C + SVM",100,0.979444444444444,0.422777777777778,0.556666666666667,-48.7660925535944
"Shape","Shape_async","DTW + kFDA",100,0.973333333333333,0.405555555555556,0.567777777777778,-43.7935005193291
"Shape","Shape_async","MFKmL-C + kFDA",100,0.967222222222222,0.387777777777778,0.579444444444444,-48.1508958658631
"Shape","Shape_async","DTW + kNN",100,0.973333333333333,0.390555555555555,0.582777777777778,-48.5073199170084
"Shape","Shape_async","1NN-DTW",100,0.976666666666667,0.392222222222222,0.584444444444444,-46.5805753506759
"Shape","Shape_async","1NN-DDTW",100,0.987777777777778,0.378888888888889,0.608888888888889,-54.6731288247125
