"method","HighDim20","HighDim50","Imbalanced","LeadLag","Phase","Phase_nowarp","Setting1","Setting2","Setting2_async","Setting2a","Setting2b","Setting3","Setting4","Setting5","Setting5_async","Setting6","Setting6_async","Shape","Shape_async","Shape_noise","SharedWarp","SyncBreak","Thyroid_like","OVERALL"
"MFKmL-C + kFDA",0.566111111111111,0.533333333333333,0.785,0.946666666666667,0.462777777777778,0.572777777777778,0.931111111111111,0.968888888888889,0.693888888888889,0.957777777777778,0.927777777777778,0.937777777777778,0.844444444444444,0.77,0.417222222222222,0.669444444444445,0.473333333333333,0.967222222222222,0.387777777777778,0.550555555555556,0.790833333333333,0.5575,0.382222222222222,0.69975845410628
"DTW + medoid",0.636666666666667,0.578888888888889,0.782777777777778,1,0.556666666666667,0.791666666666667,0.972222222222222,0.753333333333333,0.662222222222222,0.704444444444444,0.749444444444444,0.721666666666667,0.572222222222222,0.663333333333333,0.393888888888889,0.672777777777778,0.400555555555555,0.893333333333333,0.367222222222222,0.752777777777778,0.599166666666667,0.596666666666667,0.426666666666667,0.66298309178744
"Subspace",0.655,0.584444444444445,0.421666666666667,0.990833333333333,0.725555555555556,0.976666666666667,0.909444444444444,0.55,0.534444444444444,0.556111111111111,0.523888888888889,0.726666666666667,0.617222222222222,0.545555555555556,0.538888888888889,0.652222222222222,0.614444444444445,0.848333333333333,0.530555555555556,0.598888888888889,0.931666666666667,0.735,0.451111111111111,0.661678743961353
"DD-classifier",0.651666666666667,0.608333333333334,0.737777777777778,0.904166666666667,0.371666666666667,0.817222222222222,0.975555555555555,0.657777777777778,0.670555555555556,0.573333333333333,0.652222222222222,0.696111111111111,0.510555555555556,0.635555555555556,0.64,0.681111111111111,0.689444444444445,0.708333333333333,0.674444444444445,0.702777777777778,0.484166666666667,0.4975,0.581111111111111,0.657451690821256
"1NN-DDTW",0.523888888888889,0.45,0.706666666666667,0.9625,0.551666666666667,0.761111111111111,0.885,0.858333333333333,0.572777777777778,0.860555555555555,0.805555555555556,0.766666666666667,0.572777777777778,0.556111111111111,0.412222222222222,0.596111111111111,0.377777777777778,0.987777777777778,0.378888888888889,0.576666666666667,0.839166666666667,0.685,0.368888888888889,0.654613526570048
"Euclid + medoid",0.642222222222222,0.580555555555556,0.758888888888889,0.93,0.395,0.947777777777778,0.821111111111111,0.614444444444445,0.660555555555556,0.582777777777778,0.614444444444445,0.666111111111111,0.417777777777778,0.586666666666667,0.596111111111111,0.654444444444444,0.642222222222222,0.752777777777778,0.686666666666667,0.683888888888889,0.5,0.4725,0.509444444444444,0.639842995169082
"MFKmL-C + medoid",0.56,0.489444444444444,0.769444444444444,0.979166666666667,0.463888888888889,0.555,0.912222222222222,0.755,0.624444444444444,0.775,0.737222222222222,0.681666666666667,0.5,0.618333333333333,0.414444444444444,0.607777777777778,0.396666666666667,0.901666666666667,0.408333333333333,0.595555555555556,0.656666666666667,0.580833333333333,0.408333333333333,0.625700483091787
"MaxDepth-MBD",0.560555555555556,0.538333333333333,0.439444444444444,0.895833333333333,0.376666666666667,0.813888888888889,0.944444444444444,0.580555555555556,0.606111111111111,0.528333333333333,0.577222222222222,0.585555555555556,0.486111111111111,0.569444444444445,0.572222222222222,0.580555555555556,0.579444444444445,0.707777777777778,0.701111111111111,0.708888888888889,0.495833333333333,0.504166666666667,0.589444444444445,0.606171497584541
"DTW + DBA",0.526111111111111,0.47,0.705,1,0.432222222222222,0.698888888888889,0.882222222222222,0.602222222222222,0.474444444444444,0.465,0.608888888888889,0.717222222222222,0.592777777777778,0.543333333333333,0.388888888888889,0.606111111111111,0.465555555555556,0.757777777777778,0.396111111111111,0.523888888888889,0.801666666666667,0.8225,0.436111111111111,0.605084541062802
"NC-DBA",0.526111111111111,0.47,0.705,1,0.432222222222222,0.698888888888889,0.882222222222222,0.602222222222222,0.474444444444444,0.465,0.608888888888889,0.717222222222222,0.592777777777778,0.543333333333333,0.388888888888889,0.606111111111111,0.465555555555556,0.757777777777778,0.396111111111111,0.523888888888889,0.801666666666667,0.8225,0.436111111111111,0.605084541062802
